Sloka,Prose
tatassamāsādya raṇe daśānanaṃ samantrivargaṃ sabalaprayāyinamhṛdi sthitaṃ tasya mataṃ balaṃ ca vai sukhena mattvā'hamitaḥ punarvraje,tataḥ samantrivargam sabalaprayāyinam daśānanam raṇe samāsādya tasya hṛdi sthitam matam balaṃ ca vai mattvā aham itaḥ sukhena punaḥ vraje
tata: ssaśailedranipātabhagnomahodarastenamahādvipena vipothitobhūmitalegatāsuḥpapātavajrābhihatoyathādriḥ,tataḥ śailedranipātabhagnaḥ saḥmahodaraḥ tena mahādvipena vipothitaḥ gatāsuḥ vajrābhihataḥ adriḥyathā bhūmitale papāta
tasya tadvacanaṃ śrutvā rājaputrasya dhīmataḥupānayata dharmātmā gāmarghyamudakaṃ tataḥ,dharmātmā dhīmataḥ tasya rājaputrasya tat vacanam śrutvā tataḥ gām arghyam udakam upānayata
pītaṃ kanakapaṭṭābhaṃ srastaṃ tadvasanaṃ śubhamuttarīyaṃ nagāsaktaṃ tadā dṛṣṭaṃ plavaṅgamaiḥ,pītam kanakapaṭṭābham śubham uttarīyam srastam nagāsaktam tat vastram tadā plavaṅgamaiḥ dṛṣṭam
ciribilvā madhūkāśca vañjulā vakulāstathācampakāstilakāścaiva nāgavṛkṣāssupuṣpitāḥ nīpāśca varaṇāścaiva kharjūrāśca supuṣpitā,ciribilvāḥ madhūkāśca vañjulāḥ tathā vakulāḥ campakāḥ tilakāścaiva nāgavṛkṣāśca puṣpitāḥ nīpāśca varaṇāścaiva kharjūrāśca supuṣpitāḥ
uttamāṅgāccyutā tasyāḥ puṣpavṛṣṭissamantataḥsītāyā hrimamāṇāyāḥ papāta dharaṇītale,hriyamāṇāyāḥ tasyāḥ sītāyāḥ uttamāṅgāt cyutāḥ puṣpavṛṣṭiḥ samantataḥ dharaṇītale papāta
tataḥpāvakasaṅkāśaiśśarairāśīviṣopamaiḥ vānarāṇāmanīkānibibhedasamareprabhuḥ,tataḥ prabhuḥ samare pāvakasaṅkāśaiḥ āśīviṣopamaiḥ śaraiḥ vānarāṇām anīkāni bibheda
tamuvācamahātejāḥpaulastyamaparājitam samahvayetvāṃsamaresamyagyuddhaṃprayacchame,mahātejāḥ aparājitam tam paulastyam uvāca tām samare samāhvaye samyak me yuddham prayaccha
atoṣayanmahārājamakurvanvā piturvacaḥmuhūrtamapi neccheyaṃ jīvituṃ kupite nṛpe,mahārājam atoṣayan pituḥ vacaḥ akurvan nṛpe kupite muhūrtamapi jīvitum neccheyam
evaṃtavahatobhartāsasainyomamasenayā kṣatajārdraṃrajodhvastamidaṃcasyāhṛtaṃśiraḥ,evam sasainyaḥ tana bhartā senayā hataḥ asya kṣathajārdram rajodhvastam idam śiraḥ ahṛtam
yenaika bāṇena hataḥ priyo metenaiva māṃ tvaṃ jahi sāyakenahatā gamiṣyāmi samīpamasyana māmṛte rāma rameta vālī,vīra yena eka bāṇena me priyaḥ hataḥ tena eva māṃ tvam mām sāyakena jahīhi hatā asya samīpam gamiṣyāmi māṃ vinā vālī na rameta
taṃdṛṣṭavāvajradaṃṣṭrasyavikramaṃplavagarṣabha pragṛhyavipulaṃśailaṃcikṣepacananādaca,plavagarṣabhaḥ vajradaṃṣṭrasya taṃvikramam dṛṣṭavā vipulam śailam pragṛhya cikṣepaca nanādaca
tatassandhyāmupāsyāśu gatvā saumitriṇā sahajuṣṭaṃ tatprāviśallakṣmyā ramyaṃ rāmaniveśanam,tataḥ sandhyām upāsya saumitriṇā saha āśu gatvā lakṣmyā juṣṭam ramyam tat rāmaniveśanam prāviśat
abhyutthānaṃtvamadyaivakṛṣṇapakṣacaturdhaśīm kṛtvāniryāhyamāvāsyāṃvijayāyabalairvṛtaḥ,tvam adyaiva kṛṣṇapakṣacaturdaśīm abhyutthānam kṛtvā balaiḥ vṛtaḥ amāvāsyām vijayāya niryāhi
vīro daśarathasyāyaṃ putrāṇāṃ guṇavattamaḥ rājalakṣaṇasampannassamyukto rājasampadārājyādbhraṣṭo vane vastuṃ mayā sārdhamihāgataḥ,daśarathasya putrāṇām vīraḥ guṇavattamaḥ rājalakṣaṇasaṃyuktaḥ rājyasampadā saṃyuktaḥ ayam rājyāt bhraṣṭaḥ vane vastum mayā sārdham iha āgataḥ
arthito hyasmi kaikeyyā vanaṃ gaccheti rāghavamayā coktaṃ vrajāmīti tatsatyamanupālaye,rāghava vanam gaccha iti kaikeyyā arthitaḥ asmi hi vrajāmi iti mayā uktaṃ ca tat satyam anupālaye
sa praviśyasabhāṃrājādīnaḥparamaduḥkhitaḥ niṣapādāsanemukhyesiṃhaḥkruddhaivaśvasan,dīnaḥ paramaduḥkhitaḥ saḥrājā sabhām praviśya kruddhaḥ siṃhaḥiva śvasan mukhye āsane niṣasāda
yatpradhānā'si tatpāpaṃ mayi pitrā vinākṛtebhrātṛbhyāṃ ca parityakte sarvalokasya cāpriye,yatpradhānā asi tat pāpam pitrā vinā kṛte bhrātṛbhyām parityakte sarvalokasya apriye ca mayi
tādṛśaṃ vālinaḥ kṣipraṃ prākurvannaurdhvadaihikamaṅgadaṃ parigṛhyā'śu tāraprabhṛtayastadā krośantaḥ prayayussarve vānarā hatabāndhavāḥ,vālinaḥ tādṛśam aurdvadaihikam kṣipram prākurvan tadā hatabāndhavāḥ tāraprabhṛtayaḥ sarve vānarāḥ aṅgadam parigṛhyā krośantaḥ āśu prayamuḥ
amṛṣyamāṇastatkarmaprahastorathamāśritaḥ cakārakadanaṃghoraṃdhanuṣpāṇirvanaukasām,prahastaḥ tat karma amṛṣyamāṇaḥ ratham āśritaḥ dhanuṣpāṇiḥ vanaukasām ghoram kadanam cakāra
vanavāsaṃ hi saṃkhyāya vāsāṃsyābharaṇāni ca bhartāramanugacchantyai sītāyai śvaśuro dadau,śvaśuraḥ bhartāram anugacchantyai sītāyai vanavāsam saṃkhyāya vāsāṃsi ābharaṇāni ca dadau
karṇanāse nikṛtte tu visvaraṃ sā vinadya cayathāgataṃ pradudrāva rākṣasī bhīmadarśanā,bhīmadarśanā sā rākṣasī karṇanāse nikṛtte visvaram vinadya yathāgatam pradudrāva
sahasrākṣeṇakākutthsaratho'yaṃvijayāyate dattastavamahāsattvaśrīman śatrunibarhaṇa,mahāsattva śrīman śatrunibarhaṇa kākutthsa ayam rathaḥ te vijayāya sahasrākṣeṇa tava dattaḥ
aceṣṭaumandaniśśvāsauśoṇitaughapariplutau śarajālācitaustabdauśayānauśaratalpayoḥ niḥśvasantauyathāsarpauniśceṣṭaumandavikramau rudhirasrādvigdhāṅgautāpanīyāvivadhvajau tauvīraśayanevīrauśayānaumandaceṣṭitau yūthapaistai: parivṛtaubāṣpavyākulalocanaiḥ rāghavaupatitaudṛṣṭavāśarajālasamāvṛtau babhūvurvervyathitāssarvevānarāssavibhīṣaṇāḥ,aceṣṭau mandaniśśvāsau śoṇitaugha pariplutau śarajālācitau stabdau śayānau śaratalpayoḥ sarpauyathā niśśvasantau niśceṣṭau mandaceṣṭitau rudhirasrādvigdhāṅgau tāpanīyau dhvajauiva vīraśayane śayānau vīrau mandavikramau bāṣpavyākulalocanaiḥ ssaiḥ yūthapaiḥ parivṛtau śarajālasamāvṛtau taurāghavau dṛṣṭavā savibhīṣaṇāḥ sarve vānarāḥ vyathitāḥ babhūvuḥ
parasvānāṃ ca haraṇaṃparadārābhimarśanam suhṛdāmatiśaṅkā ca trayodoṣāḥkṣayāvahāḥ,parasvānām haraṇam paradārābhimarśanam suhṛdām atiśaṅkā ca trayaḥdoṣāḥ kṣayāvahāḥ
na vinaśyetkathaṃ kāryaṃ vaiklabyaṃ na kathaṃ bhavet laṅghanaṃ ca samudrasya kathaṃ nu na vṛthā bhavet,kāryam katham na vinaśyet vaiklabyam katham na bhavet samudrasya laṅghanaṃ ca kathaṃ nu vṛthā na bhavet
ahamapyanurūpaste vayasyo jñāsyase śanaiḥna tu vaktuṃ samartho'haṃ svayamātmagatānguṇān,ahamapi te anurūpaḥ vayasyaḥ śanaiḥ jñāsyase aham imān ātmaguṇān svayam vaktum samarthaḥ na
śrutvā ca vismayaṃjagmurayodhyāpuravāsinaḥ vānarāṇāṃ ca tatakarmarākṣasānāṃ ca tadbalam,ayodhyāpuravāsinaḥ vānarāṇām tat karma rākṣasānām tat balaṃ ca śrutvā vismayam jagmuḥ
evamuktastadārājāmahāpārśvenarāvaṇaḥ tasyasampūjayanvākyamidaṃvacanamabravīt,tadā: mahāpārśvena: evam uktaḥ rājā: rāvaṇaḥ tasya: vākyam sampūjayan idam vacanam abravīt
tānuvāca hariśreṣṭho hanumānvānararṣabhaḥavyagramanaso yūyaṃ madhu sevata vānarāḥ ahamāvārayiṣyāmi yuṣmākaṃ paripanthinaḥ,hariśreṣṭhaḥ vānararṣabhaḥ hanumān tān uvāca vānarāḥ yūyam avyagramanasaḥ madhu sevata aham yuṣmākam paripanthinaḥ avāyiṣyāmi
siddhāśramanivāsaṃ ca rākṣasānāṃ vadhaṃ tathā taccāgamanamavyagraṃ viśālāyāśca darśanamahalyādarśanaṃ caiva gautamena samāgamam mahādhanuṣi jijñāsāṃ kartumāgamanaṃ tathāetatsarvaṃ mahātejā janakāya mahātmane nivedya virarāmātha viśvāmitro mahāmuni:,mahātejā: mahāmuni: viśvāmitra: siddhāśramanivāsaṃ ca tathā rākṣasānām vadham avyagram tat āgamanam viśālāyā: darśanam ahalyā darśanaṃ caiva gautamena samāgamam tathā mahādhanuṣi jijñāsām kartum āgamanam etatsarvam mahātmane janakāya nivedya atha virarāma
pratigṛhya ca tāmarcāmupaviṣṭaṃ sa rāghavambharadvājo'bravīdvākyaṃ dharmayuktamidaṃ tadā,saḥ bharadvājaḥ tadā tām arcām pratigṛhya upaviṣṭam rāghavam dharmayuktam idaṃ vākyam abravīt
tenasugrīvavākyenasāvamānenamānitaḥ agnerājyāhutasyevatejastasyābhyavardhata,sāvamānena tena sugrīvākyena mānitaḥ rājyāhutasya agneḥiva tasya tejaḥ abhyavardhata
kṣudhitasya hi siṃhasya mṛgaśatrostarasvinaḥāśīviṣasya mukhāddaṃṣṭrāmādātumicchasi,mṛgaśatroḥ tarasvinaḥ kṣudhitasya siṃhasya āśīviṣasya mukhāt daṃṣṭrām ādātum icchasi
tentarikṣādvinirdhūtāstasyavegenarākṣasāḥ bhūmaunipatitāḥsarverākṣasendrasyapaśyataḥ,tena antarikṣāt tasya nirdhūtā vegena rākṣasendrasya tasya tatra sarve bhūmau nipatitāḥ
atha me kṛṣata: kṣetraṃ lāṅgūlādutthitā mayākṣetraṃ śodhayatā labdhā nāmnā sīteti viśrutā,atha me kṣetram kṛṣata: lāṅgūlāt utthitā nāmnā sīteti viśrutā kṣetram śodhayatā mayā labdhā
pitāmahenaprītenadevadānavarākṣasaiḥ rāvaṇasyābhayaṃdattaṃmanuṣyebhyo na yācitam,prītena pitāmahena rāvaṇasya devadānavarākṣasaiḥ abhayam dattam manuṣyebhyaḥ na yācitam
tasyaniṣkarṣataḥśaktiṃrāvaṇenabalīyasā śarāḥsarveṣugātreṣupātitāmarmabhedinaḥ,balīyasā rāvaṇena śaktim niṣkarṣataḥ tasya sarveṣu gātreṣu marmabhedinaḥ śarāḥ pātitāḥ
samājñāpaya kāṣṭhāni śuṣkāni ca bahūni cacandanādīni divyāni vālisaṃskārakāraṇāt,śuṣkāni bahūni kāṣṭhāni divyāni candanādīni ca vālisaṃskāra kāraṇāt samājñāpaya
tvaṃhisatyavrataśśūrodhārmikodṛḍhavikramaḥ parīkṣyakārīsmṛtimānnisṛṣṭātmāsuhṛtsuca,tvam satyavrataḥ śūraḥ dhārmikaḥ dṛḍhavikramaḥ parīkṣyakārī: smṛtimān suhṛtsu: nisṛṣṭātmāca:
tāritā naraśārdūla divaṃ yātāśca devavatṣaṣṭhi: putrasahasrāṇi sagarasya mahātmana:,naraśārdūla mahātmana: sagarasya ṣaṣṭi: putrasahasrāṇi tāritā: devavat divam yātā:
tatastenāprameyena kapilena mahātmanābhasmarāśīkṛtāssarve kākutstha sagarātmajā:,kākutstha tata: aprameyena mahātmanā tena kapilena sarve sagarātmajā: bhasmarāśīkṛtā:
āroha tvaṃ naravyāghra sthitāṃ nāvamimāṃ śanaiḥsītāṃ cāropayānvakṣaṃ parigṛhya manasvinīm,naravyāghraḥ tvam sthitam imām nāvam śanaiḥ āroha anvakṣam manasvinīm sītāṃ ca parigṛhya āropaya
hastī cāgrata śśrīmāṃ stava lakṣaṇapūjitaḥprayāṇe lakṣyate vīra kṛṣṇameghagiri prabhaḥ,vīra tava prayāṇe agrataḥ lakṣaṇapūjitaḥ kṛṣṇameghagiriprabhaḥ śrīmān hastī na lakṣyate
nirānandā nirāśā'haṃ nimagnā śokasāgaretvayi pañcatvamāpanne mahāyūthapayūthape,mahāyūthapayūthape tvayi pañcatvam āpanne aham nirānandā nirāśā śokasāgare nimagnā
rājavaṃśānśataguṇānsthāpayiṣyati rāghava: cāturvarṇyaṃ ca loke'smin sve sve dharme niyokṣyati,rāghava: asmin loke śataguṇān rājavaṃśān sthāpayiṣyati cāturvarṇyam sve sve dharme niyokṣyati
bhagīratho'pi rājarṣi: kṛtvā salilamuttamamyathākramaṃ yathānyāyaṃ sāgarāṇāṃ mahāyaśā: kṛtodakaśśucī rājā svapuraṃ praviveśa hasamṛddhārtho raghuśreṣṭha svarājyaṃ praśaśāsa ha,rājarṣi: mahāyaśā: rājā bhagīratho'pi yathākramam yathānyāyam sāgarāṇām uttamam salilam kṛtvā kṛtodaka: śuci: svapuram praviveśa ha raghuśreṣṭha samṛddhārtha: svarājyam praśaśāsa ha
tatastevadhyamānāstuhatayūthāvināyakāḥ vānarābhayasaṃvignāvinedurvisvaraṃbhṛśaiḥ,tataḥ hatayūthāḥ vināyakāḥ tevānarāḥ vadhyamānāḥ bhayasaṃvignāḥ vikṛtaiḥ bhṛśaiḥ visvaram
kopaṃ kathaṃ nāma guṇaprakṛṣṭaḥkumāra kuryādapakṛṣṭasattvekastvadvidhaḥ kopavaśaṃ hi gacchetsattvāvaruddhastapasaḥ prasūtiḥ,kumāra guṇaprakṛṣṭaḥ apakṛṣṭasattve kopam kathaṃ nāma kuryāt sattvāvaruddhaḥ tapasaḥ prasūtiḥ tvadvidhaḥ kaḥ kopavaśam gacchet
sasandhāyamahātejāstaṃbāṇaṃsahasotsṛjat tenassaumitrimāyāntamājaghānastanāntare,mahātejāḥ saḥ tam bāṇam sandhāya sahasā utsṛjat tena āyāntam saumitrim stanāntare ājaghāna
tasya jyeṣṭho'si dāyādo rāma ityabhiviśrutaḥtadgṛhāṇa svakaṃ rājyamavekṣasva janaṃ nṛpa,rāma iti abhiviśrutaḥ tasya dāyādaḥ jyeṣṭhaḥ asi nṛpaḥ tat svakam rājyam gṛhāṇa janam avekṣasva
uttiṣṭhottiṣṭhakiṃśeṣenaveparibhavekṛte adyavainirbhayālaṅkāṃpraviṣṭāṃsūryaraśmayaḥ,ttiṣṭha uttiṣṭha nave paribhave kṛte kim śeṣe adya sūryaraśmayaḥ nirbhayāḥ laṅkām praviṣṭāḥ
tatastu tārā vyasanārṇavāplutāmṛtasya bharturvadanaṃ samīkṣya sājagāma bhūmiṃ parirabhya vālinaṃmahādrumaṃ chinnamivāśritā latā,tataḥ sā tārā vyasanārṇavāplutā mṛtasya bhartuḥ vadanam samīkṣya chinnam mahādrumam āśritā latā iva vālinam parirabhya bhūmim jagāma
na tvāṃ prakṛtaya ssarvā śśreṇīmukhyāśca bhūṣitāḥanuvrajitumicchanti paurajānapadāstathā,sarvāḥ prakṛtayaḥ śreṇīmukhyāśca tathā paurajānapadāḥ bhūṣitāḥ tvām anuvrajitum na icchanti
udyogasamayastveṣaprāptaśśatruvināśana sañcintyatāṃ hi piṅgeśa haribhissaha mantribhiḥ,śatruvināśana piṅgeśa eṣaḥ udyogasamayaḥ prāptaḥ mantribhiḥ haribhiḥ saha sañcintyatām
adyaprabhṛtilokāṃstrīn sarvedānavarākṣasāḥ bhayenaprāvṛtānityaṃvicariṣyantiśāśvatam,adyaprabhṛti sarve dānavarākṣasāḥ nityam bhayena prāvṛtāḥ śāśvatam trīn lokān vicariṣyanti
sahāyakṛtyaṃ kiṃ tasya yena sapta mahādrumāḥśailaśca vasudhā caiva bāṇenaikena dāritāḥ,yena sapta mahādrumāḥ śailaśca vasudhā caiva ekena bāṇena dāritāḥ tasya sahāyakṛtyam kim
tāstadā saviṣairdaṣṭāḥ kupitaistairmahāśilāḥjajjvaluḥ pāvakoddīptā bibhiduśca sahasradhā,tadā saviṣaiḥ kupitaiḥ taiḥ daṣṭāḥ tāḥ mahāśilāḥ pāvakodadīptāḥ jajvaluḥ sahasradhā bibhiduśca
dṛṣṭavātāṃtupurīṃlaṅkāṃtrikūṭaśikharesthitām hataṃcarāvaṇaṃyuddhedarśanāvadhāraya,trikūṭaśikhare: sthitām: tām: laṅkāṃpurīm: dṛṣṭavā: yuddhe: tu: darśanāt: rāvaṇam: hatam: avadhāraya:
tataśśoṇitakumbhāṃścamadyānivividhānica purastātkumbhakarṇasyacakrustridaśaśatravaḥ,tataḥ tridaśatravaḥ śoṇitakumbhāṃśca vividhāni madyāni kumbhakarṇasya purastāt cakruḥ
kathaṃ nu khalu duṣpāraṃ tariṣyanti mahodadhimtāni haryṛkṣasainyāni tau vā naravarātmajau,tāni haryṛkṣasainyāni tau naravarātmajau duṣpāram mahodadhim kathaṃ nu tariṣyanti
saśarīrasya bhadraṃ vastriśaṅkorasya bhūpate:ārohaṇaṃ pratijñāya nānṛtaṃ kartumutsahe,va: bhadram saśarīrasya asya triśaṅko: bhūpate: ārohaṇam pratijñāya anṛtam kartum na utsahe
tāvubhauvāhinīmukhyaujātavairautarasvinau sthitaukṣatajagadigdhāṅgauprabhinnāvivakuñjarau,jātavairau tarasvinau tau ubhau vāhinīmukhyau kṣatajagadigdāṅgau prabhinnau kuñjarauiva sthitau
etenajātamātreṇakṣudhārtenamahātmanā bhakṣitānisahasrāṇisattvānāṃsubahūnyapi,jātamātreṇa kṣudhārtena etena mahātmanā sattvānām subahūniapi sahasrāṇi bhakṣitāni
sa cintayāmāsa tato mahākapiḥ priyāmapaśyanraghunandanasya tāmdhruvaṃ hi sītā mriyate yathā na mevicinvato darśanameti maithilī,tataḥ saḥ mahākapiḥ raghunandanasya priyām tām apaśyan cintayāmāsa maithilī vicinvataḥ me yathā darśanam na upaiti sītā dhruvam mriyate
avadhyodevatānāṃyastathādānavarākṣasām hataḥso'yaṃraṇeśetemānuṣeṇapadātinā,yaḥ devatānām tathā dānavarakṣanām avadhyaḥ saḥayam padātinā mānuṣeṇa raṇe hataḥ śete
tvaṃ hi śūraśca balavānhanyāhyetānna saṃśayaḥsvayaṃ tu hantumicchāmi sarvāneva niśācarān,tvam śūraśca balavān etān hanyāḥ hi tu sarvāneva niśācarān svayam hantum icchāmi
kaumbhakarṇistatovīronikumbhonāmavīryavān abravītparamakruddhorāvaṇaṃlokarāvaṇam,tataḥ kaumbhakarṇiḥ vīraḥ vīryavān nikumbhonāma: paramakruddha: lokarāvaṇam rāvaṇam abravīt
tānyetānyadya paśyāmi nirānandāni sarvaśaḥ srastaparṇairanupathaṃ vikrośadbhiriva drumaiḥ,adya anupatham srastaparṇaiḥ vikrośadbhiriva drumaiḥ tānyetāni sarvaśaḥ nirānandāni paśyāmi
tacchrutvā munayassarve bāṣpaparyākulekṣaṇā: sādhusādhviti tāvūcu: paraṃ vismayamāgatā:,sarve munaya: tat śrutvā param vismayam āgatā: bāṣpaparyākulekṣaṇā: sādhu sādhu iti tau ūcu:
aśvānāṃkhuraśabdaiścarathanemisvanena ca śaṅkhadundubhinādenasañcacālevamedinī,aśvānām khuraśabdena rathanemisvanenaca śaṅkhadundubhighoṣeṇa medinī sañcacāleva
tasminmahati saṅgrāme puruṣānkṣatavikṣatānrātrau prasuptānghnanti sma tarasā''sādya rākṣasāḥ,mahati tasmin saṅgrāme kṣatavikṣatān rātrau prasuptān puruṣān rākṣasā: āsādya tarasā ghnanti sma
iti cintāparassūto vājibhiśśīghrapātibhiḥnagaradvāramāsādya tvaritaḥ praviveśa ha,iti cintāparaḥ sūtaḥ śīghrapātibhiḥ vājibhiḥ nagaradvāram āsādya tvaritaḥ praviveśa ha
sa cainaṃ praśritaṃ dṛṣṭvā sambhāṣyābhiprasādya capriyārhaṃ harṣayanrāmamityuvāca purohitaḥ,saḥ purohitaḥ ca priyārham praśritam enam rāmam dṛṣṭvā saṃbhāṣya abhiprasādya ca harṣayan iti uvāca
dharmamarthaṃ ca kāmaṃ ca sarvānvārakṣasāṃpate bhajatepuruṣaḥkāletrīṇidvandvānivāpunaḥ,rakṣasāṃpate puruṣaḥ dharmam arthaṃ ca kāmaṃ ca sarvānvā trīṇi dvandvānivā kāle bhajate
rāvaṇasyavacaśśrutvāvāyusūnurvaco'bravīt prahṛtaṃhimayāpūrvamakṣaṃtavasutaṃtava,rāvaṇasya vacaḥ śrutvā vāyusūnuḥ vacaḥ abravīt mayā pūrvam prahṛtam tavasutam akṣam tava
nimagnatālusphsuṭitākṣitāroniṣkrāntajihvo'calasannikāśaḥ sa tasyavājīnipapātabhūmautalaprahāreṇaviśīrṇamūrdhā,tasya acalasannakāśaḥ saḥvājī talaprahāreṇa viśīrṇamūrdhā nimagnatāluḥ sphuṭitākṣitāraḥ niṣkrāntajihvaḥ bhūmau nipapāta
kliṣṭakauśeyavasanāṃ tanvīmapyanalaṅkṛtām tvāṃ dṛṣṭvā sveṣu dāreṣu ratiṃ nopalabhāmyaham,kliṣṭakauśeyavasanām tanvīm tvām analaṅkṛtāmapi dṛṣṭvā aham sveṣu dāreṣu ratim nopalabhāmi
yāścāpi sarvatassidhdā diśaśca sadigīśvarāḥstutā mayā vane tasminpāntu tvāṃ putra nityaśaḥ,putra siddhāḥ sadigīśvarā: yāḥ diśaśca mayā stutāḥ tasmin vane tvām sarvataḥ nityaśaḥ pāntu
tamabhyabhāṣa saumitre sugrīvasacivaṃ kapimvākyajñaṃ madhurairvākyaissnehayuktamarindama,saumitre vākyajñam snehayuktam arindamam sugrīvasacivam taṃ kapim madhuraiḥ vākyaiḥ abhibhāṣasva
tvāṃ tu notsahate hantuṃ mahātmā pitṛgauravātsasomārkagrahagaṇaṃ nabhastārāvicitritam pātayedyodivaṃ kruddhassatvāṃ na vyativartateprakṣobhayedvāraye dvā mahīṃ śailaśatācitām,tu mahātmā pitṛgauravāt tvām hantum notsahate kruddha: yaḥ sasomārkagrahagaṇam tārāvicitritam nabhaḥ divam pātayet naḥ tvām na vyativartate śailaśata citām mahīm prakṣobhayedvā dārayedvā
sa vai dattavaraḥ śailo babhūvāvasthitastadāhanumāṃśca muhūrtena vyaticakrāma sāgaram,tadā dattavaraḥ saḥ śailaḥ avasthitaḥ babhūva hanumāṃśca muhūrtena sāgaram vyaticakrāma
rājyaṃprāpsyasidharmajña laṅkāyāṃnātrasaṃśayaḥ rāvaṇassahaputreṇasvakāmaṃnehalapsyate,dharmajña laṅkāyām rājyam prāpsyasi atra saṃśayaḥ na rāvaṇaḥ sahaputreṇa svakāmam iha nalapsyate
